Название игры,Жанры,Описание,Целевая аудитория,Прибыльность,Конкуренты
ghost trick: phantom detective,"Action, Adventure, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
iron lung,"Adventure, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gladiator guild manager: prologue,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
steins;gate 0,Adventure,Нет описания,Mature,Высокая,Нет данных
the last blade (1997),"Action, Arcade, Fighting",Нет описания,Все возрастные группы,Низкая,Нет данных
little witch academia: chamber of time,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
empires apart,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
iron man,"Action, Shooter",Нет описания,Teen,Низкая,Нет данных
tdp5 arena 3d,"Action, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
vegas: make it big,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
little big adventure - enhanced edition,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
gasp,"Action, Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
jdm tuner racing,"Action, Sports, Racing",Нет описания,Everyone 10+,Низкая,Нет данных
bob came in pieces,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
revelations 2012,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
"spy fox in ""dry cereal""","Adventure, Casual, Educational",Нет описания,Все возрастные группы,Низкая,Нет данных
double kick heroes,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
software inc.,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
premium pool,"Simulation, Sports, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
fable fortune,Strategy,Нет описания,Teen,Низкая,Нет данных
ea sports rory mcilroy pga tour,Sports,Нет описания,Everyone,Низкая,Нет данных
superdimension neptune vs sega hard girls,"Action, RPG",Нет описания,Teen,Средняя,Нет данных
the ramp,"Action, Simulation, Sports, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
hello neighbor 2 alpha 1,"Adventure, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
explore fushimi inari,"Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
last year,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
darkest dungeon 2,"RPG, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
glass masquerade 2: illusions,"Casual, Indie",Нет описания,Everyone,Низкая,Нет данных
the lion’s song,Adventure,Нет описания,Teen,Низкая,Нет данных
feudal alloy,"Action, RPG, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
offensive combat: redux!,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
heroes of might and magic 3: armageddon's blade,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
hidden & dangerous 2: courage under fire,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
cherry tree high i! my! girls!,Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
agricultural simulator 2013,"Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
hocus,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
астролорды: облако оорта,"Strategy, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
1... 2... 3... kick it! (drop that beat like an ugly baby),"Action, Indie",Нет описания,Rating Pending,Низкая,Нет данных
atelier sophie: the alchemist of the mysterious book,"Adventure, RPG",Нет описания,Все возрастные группы,Средняя,Нет данных
24 hours,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
kinectimals,"Simulation, Family",Нет описания,Everyone,Высокая,Нет данных
red dead revolver,Action,Нет описания,Mature,Средняя,Нет данных
leap of fate,"Action, RPG",Нет описания,Все возрастные группы,Высокая,Нет данных
alone in the dark,"Action, Adventure",Нет описания,Mature,Низкая,Нет данных
minute of islands,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
freddi fish 1: the case of the missing kelp seeds,"Adventure, Casual",Нет описания,Everyone,Низкая,Нет данных
kynseed,"Adventure, RPG, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
beyond good and evil 2,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
descent (1996),"Action, Shooter",Нет описания,Everyone 10+,Низкая,Нет данных
animal super squad,"Action, Adventure, Simulation, Family, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
dark souls iii: ashes of ariandel,"Action, RPG",Нет описания,Все возрастные группы,Средняя,Нет данных
stronghold,Strategy,Нет описания,Teen,Высокая,Нет данных
planet alcatraz 2,"Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
airport simulator 2014,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
the stalin subway,Shooter,Нет описания,Все возрастные группы,Низкая,Нет данных
magicka: wizards of the square tablet,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
sol: exodus,"Action, Simulation, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
dark void zero,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
influx,"Action, Adventure, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
children of zodiarcs,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
out of the park baseball 18,"Strategy, Simulation, Sports, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
rfactor 2,"Simulation, Sports, Racing",Нет описания,Все возрастные группы,Низкая,Нет данных
magnetic: cage closed,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
eventide: slavic fable,"Adventure, Casual, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
despot's game: dystopian battle simulator,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
my time at sandrock,"Adventure, RPG, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gedonia,RPG,Нет описания,Все возрастные группы,Низкая,Нет данных
cell to singularity - evolution never ends,"Strategy, Simulation, Casual, Educational",Нет описания,Все возрастные группы,Низкая,Нет данных
apsulov: end of gods,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
bullet witch,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
pixark,"Action, Adventure, RPG, Strategy, Casual, Massively Multiplayer",Нет описания,Teen,Низкая,Нет данных
midway arcade origins,"Racing, Arcade",Нет описания,Teen,Низкая,Нет данных
mario and luigi: bowser's inside story,RPG,Нет описания,Everyone,Высокая,Нет данных
no more heroes 2: desperate struggle,Action,Нет описания,Mature,Высокая,Нет данных
league of maidens,"Action, Strategy, Casual, Indie",Нет описания,Everyone,Низкая,Нет данных
lightfish,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
drakerz-confrontation,"Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
sweatshop,"Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
lost civilization,"Adventure, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
witch's pranks: frog's fortune collector's edition,"Adventure, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
"""glow ball"" - the billiard puzzle game","Strategy, Sports, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
take thy throne,"Action, Adventure, Strategy, Casual, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ragnarok clicker,"Adventure, RPG, Strategy, Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
gone in november,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
immune - true survival,"Action, Adventure, RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
surge,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
copoka,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
cloud pirates,"Action, Strategy, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
shut up and dig,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ufo online: invasion,"RPG, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
noby noby boy,"Action, Arcade",Нет описания,Everyone 10+,Низкая,Нет данных
soul axiom,"Action, Adventure, Indie",Нет описания,Teen,Средняя,Нет данных
soulstone survivors: prologue,"Action, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
archvale,"Action, Shooter, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
vhs,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
mr. prepper: prologue,"Action, Adventure, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
kingdom wars 2: definitive edition,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
oninaki,"Action, RPG",Нет описания,Teen,Средняя,Нет данных
workers & resources: soviet republic,"Strategy, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
animal crossing,"RPG, Simulation",Нет описания,Everyone,Высокая,Нет данных
legrand legacy: tale of the fatebounds,"Action, Adventure, RPG, Indie",Нет описания,Teen,Низкая,Нет данных
the gunstringer,"Action, Shooter",Нет описания,Teen,Низкая,Нет данных
avatar: the last airbender - the burning earth,"Action, Fighting, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
army men rts,"Action, Strategy",Нет описания,Teen,Средняя,Нет данных
cooking academy fire and knives,"Action, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
dreamscapes: the sandman - premium edition,Adventure,Нет описания,Все возрастные группы,Низкая,Нет данных
spate,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
fantasy tales online,"RPG, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
grandia ii anniversary edition,RPG,Нет описания,Все возрастные группы,Высокая,Нет данных
paranormal state: poison spring,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
melody's escape,Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
super win the game,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
mystic destinies: serendipity of aeons,"Adventure, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
blueprint tycoon,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
vanishing realms,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
leaves - the return,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
syphon filter,"Action, Shooter",Нет описания,Teen,Высокая,Нет данных
asterix & obelix xxl: romastered,"Action, Adventure",Нет описания,Все возрастные группы,Средняя,Нет данных
wwe smackdown! vs. raw 2007,"Action, Sports, Arcade, Fighting",Нет описания,Teen,Высокая,Нет данных
lovers of aether,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
bad day,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
witchfire,Shooter,Нет описания,Все возрастные группы,Низкая,Нет данных
家有大貓 nekojishi,,Нет описания,Все возрастные группы,Низкая,Нет данных
"sorry, james","Casual, Indie",Нет описания,Mature,Низкая,Нет данных
world of warcraft: warlords of draenor,"RPG, Massively Multiplayer",Нет описания,Teen,Высокая,Нет данных
age of mythology,Strategy,Нет описания,Все возрастные группы,Высокая,Нет данных
immortal empire,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
enigmatis 3: the shadow of karkhala,"Adventure, Casual, Puzzle",Нет описания,Teen,Низкая,Нет данных
robot squad simulator 2017,"Action, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
unearthed: trail of ibn battuta - episode 1 - gold edition,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
shadow puppeteer,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
dog sled saga,"RPG, Sports, Racing, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gunstar heroes,Action,Нет описания,Everyone 10+,Средняя,Нет данных
mass effect trilogy,"Action, Shooter, RPG",Нет описания,Mature,Низкая,Нет данных
the talos principle 2,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
nekopara - catboys paradise,"Adventure, Simulation, Casual, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
wrc 8 fia world rally championship,"Racing, Arcade",Нет описания,Все возрастные группы,Низкая,Нет данных
olija,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Высокая,Нет данных
teenage mutant ninja turtles (1989),Action,Нет описания,Все возрастные группы,Низкая,Нет данных
veritex,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
zombie driver,"Racing, Arcade",Нет описания,Mature,Средняя,Нет данных
the suffering: ties that bind,"Action, Shooter",Нет описания,Mature,Средняя,Нет данных
worms 3d,Strategy,Нет описания,Все возрастные группы,Средняя,Нет данных
maniac mansion,"Adventure, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет данных
luigi's mansion: dark moon,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
omg zombies!,"Action, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
daedalus - no escape,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
intake,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
castle,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
30 impossible levels,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the kings' crusade,Strategy,Нет описания,Все возрастные группы,Средняя,Нет данных
gladiators online: death before dishonor,"Action, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
primal fears,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
marauder (2009),"RPG, Strategy",Нет описания,Все возрастные группы,Низкая,Нет данных
bitmaster,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
alone in the dark 3,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
one tower,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
disney•pixar cars,"Adventure, Racing",Нет описания,Everyone,Средняя,Нет данных
mr.president!,"Action, Adventure, Simulation, Indie",Нет описания,Adults Only,Низкая,Нет данных
dead man's draw,"Strategy, Board Games, Casual, Card, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
7 wonders of the ancient world,"Strategy, Casual, Puzzle",Нет описания,Everyone,Средняя,Нет данных
big sky infinity,"Shooter, Arcade",Нет описания,Everyone 10+,Низкая,Нет данных
opus: the day we found earth,"Adventure, RPG, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
io,"Action, Racing, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
genkai tokki: moero chronicle,RPG,Нет описания,Mature,Низкая,Нет данных
mega man zero/zx legacy collection,"Action, RPG, Platformer",Нет описания,Все возрастные группы,Низкая,Нет данных
neos vr,"Educational, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
nalogi,"Adventure, RPG, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
mother 3,RPG,Нет описания,Teen,Низкая,Нет данных
kinect star wars,Action,Нет описания,Teen,Низкая,Нет данных
animal crossing: wild world,Casual,Нет описания,Everyone,Высокая,Нет данных
//snowflake tattoo//,"Action, Adventure, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
slam bolt scrappers,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
ukrainian ninja,"Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
real warfare 1242,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
daily chthonicle: editor's edition,"Adventure, RPG, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
just deserts,"Strategy, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
project rpg,"Action, Adventure, RPG",Нет описания,Все возрастные группы,Низкая,Нет данных
lords of xulima,"Adventure, RPG, Strategy, Indie",Нет описания,Teen,Средняя,Нет данных
one night stand,"Simulation, Casual, Indie",Нет описания,Mature,Низкая,Нет данных
aeon command,"Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
surge deluxe,Puzzle,Нет описания,Everyone 10+,Низкая,Нет данных
ibomber attack,"Action, Adventure, Arcade, Casual, Indie",Нет описания,Teen,Низкая,Нет данных
flockers,"Action, Strategy, Indie, Puzzle",Нет описания,Everyone 10+,Средняя,Нет данных
nascar heat 5,"Sports, Racing",Нет описания,Everyone,Средняя,Нет данных
travellers rest,"Adventure, RPG, Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
small arms,Action,Нет описания,Все возрастные группы,Средняя,Нет данных
lost saga na,"Action, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
vagrant story (2000),"Action, Adventure, RPG",Нет описания,Teen,Высокая,Нет данных
underworld ascendant,"Action, RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
all you can eat,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
resident evil code: veronica,"Action, Adventure",Нет описания,Mature,Высокая,Нет данных
silver,"Action, Adventure, RPG, Card",Нет описания,Everyone,Низкая,Нет данных
metal waltz: anime tank girls,"Adventure, RPG, Strategy, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
earthworm jim 3d,"Action, Adventure, Platformer",Нет описания,Everyone,Низкая,Нет данных
dead hungry diner,"Casual, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
quanero vr,,Нет описания,Все возрастные группы,Низкая,Нет данных
skytime,"Action, Casual, Indie",Нет описания,Teen,Низкая,Нет данных
farnham fables,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
transformers: revenge of the fallen,"Action, Shooter",Нет описания,Teen,Средняя,Нет данных
la-mulana ex,"Action, Adventure",Нет описания,Teen,Высокая,Нет данных
cloud gardens,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
call of duty: mobile,"Action, Shooter",Нет описания,Mature,Высокая,Нет данных
dinkum,"RPG, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
auto chess,Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
peekaboo,"Action, RPG, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
b,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
"biing!: sex, intrigue and scalpels",Strategy,Нет описания,Все возрастные группы,Низкая,Нет данных
apollo justice: ace attorney,"Action, Adventure",Нет описания,Teen,Высокая,Нет данных
wwe smackdown vs. raw 2009,"Action, Sports, Fighting",Нет описания,Teen,Низкая,Нет данных
statik,"Action, Adventure, Strategy, Casual, Indie, Puzzle",Нет описания,Teen,Низкая,Нет данных
return null - episode 1,Indie,Нет описания,Все возрастные группы,Низкая,Нет данных
aircraft war x,"Action, Simulation, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
polywar,"Action, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
hatsune miku: project diva x,,Нет описания,Teen,Низкая,Нет данных
kingdom rush origins,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
soul hackers 2,RPG,Нет описания,Mature,Низкая,Нет данных
poly bridge 2,"Simulation, Indie, Puzzle",Нет описания,Все возрастные группы,Средняя,Нет данных
necesse,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
tangle tower,"Adventure, Indie, Puzzle",Нет описания,Teen,Низкая,Нет конкурентов
xeno crisis,Action,Нет описания,Teen,Низкая,Нет данных
the uncertain: episode 2 - light at the end,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
music racer,"Action, Racing, Arcade, Casual, Indie",Нет описания,Everyone,Низкая,Нет данных
flow:the sliding,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
microsoft flight,Simulation,Нет описания,Everyone,Средняя,Нет данных
the lost vikings,"Action, Puzzle, Platformer",Нет описания,Everyone,Средняя,Нет данных
gatling gears,"Action, Shooter, Arcade",Нет описания,Everyone 10+,Низкая,Нет данных
mario & luigi: superstar saga,RPG,Нет описания,Everyone,Высокая,Нет данных
trials 2: second edition,"Sports, Racing, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
squarecells,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
probably archery,"Action, Sports, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
black rose,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
missing: an interactive thriller - episode one,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
supreme league of patriots,"Adventure, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
you have 10 seconds 2,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
xsplit,,Нет описания,Все возрастные группы,Низкая,Нет данных
battlecrew space pirates,"Action, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
bibou,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
counter-strike 2,Shooter,Нет описания,Mature,Низкая,Нет конкурентов
fall of porcupine: prologue,,Нет описания,Все возрастные группы,Низкая,Нет данных
n3: ninety-nine nights,"Action, Adventure",Нет описания,Все возрастные группы,Средняя,Нет данных
iris.fall,"Adventure, Strategy, Casual, Indie, Puzzle",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
xenogears (1998),RPG,Нет описания,Teen,Высокая,Нет данных
spider-man: homecoming - virtual reality experience,"Action, Adventure",Нет описания,Все возрастные группы,Низкая,Нет данных
pro evolution soccer 2012,Sports,Нет описания,Все возрастные группы,Низкая,Нет данных
star ocean: the last hope,RPG,Нет описания,Все возрастные группы,Средняя,Нет конкурентов
fire emblem fates: birthright,"RPG, Strategy",Нет описания,Teen,Высокая,Нет данных
tanki x,"Action, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
chainz 2: relinked,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
think to die,"Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
baseball stars 2,"Sports, Arcade",Нет описания,Все возрастные группы,Низкая,Нет данных
space colony,"Strategy, Simulation",Нет описания,Все возрастные группы,Средняя,Нет данных
leadwerks game launcher,Educational,Нет описания,Все возрастные группы,Низкая,Нет данных
"creature clicker - capture, train, ascend!","Action, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
pigmentum,"Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
fear effect sedna,"Action, RPG, Strategy",Нет описания,Mature,Низкая,Нет данных
one eyed kutkh,"Adventure, Indie",Нет описания,Everyone,Низкая,Нет данных
shiny,"Action, Indie",Нет описания,Все возрастные группы,Средняя,Нет данных
colt express,"Strategy, Board Games, Casual",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
naruto shippuden: ultimate ninja storm generations,"Arcade, Fighting",Нет описания,Teen,Низкая,Нет данных
galaga legions dx,"Shooter, Arcade",Нет описания,Everyone 10+,Низкая,Нет данных
txk,,Нет описания,Everyone 10+,Низкая,Нет данных
kick & fennick,"Action, Platformer",Нет описания,Everyone 10+,Низкая,Нет данных
solitairica,"RPG, Strategy, Card, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
royal defense,"Strategy, Casual, Indie",Нет описания,Everyone 10+,Низкая,Нет данных
metroid prime remastered,"Action, Shooter, Adventure, Platformer",Нет описания,Teen,Низкая,Нет данных
matchpoint - tennis championships,"Simulation, Sports",Нет описания,Все возрастные группы,Низкая,Нет данных
space warlord organ trading simulator,"Strategy, Simulation",Нет описания,Все возрастные группы,Низкая,Нет данных
plunder panic,"Action, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
gordian quest,"Adventure, RPG, Strategy, Card, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
operencia: the stolen sun,RPG,Нет описания,Все возрастные группы,Высокая,Нет конкурентов
the friends of ringo ishikawa,"Action, Adventure",Нет описания,Mature,Средняя,Нет данных
spider-man 2: enter electro,Platformer,Нет описания,Everyone 10+,Средняя,Нет конкурентов
tt isle of man,"Simulation, Racing",Нет описания,Everyone,Низкая,Нет данных
age of empires iii,Strategy,Нет описания,Teen,Низкая,Нет данных
black,Shooter,Нет описания,Mature,Высокая,Нет данных
lumines live!,,Нет описания,Everyone 10+,Низкая,Нет данных
chernobyl commando,Action,Нет описания,Все возрастные группы,Низкая,Нет данных
stranded in time,"Adventure, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
muri,Action,Нет описания,Все возрастные группы,Низкая,Нет конкурентов
soccer manager 2015,Sports,Нет описания,Все возрастные группы,Низкая,Нет данных
maelstrom: the battle for earth begins,"Action, Shooter, Strategy",Нет описания,Все возрастные группы,Средняя,Нет конкурентов
through abandoned,"Adventure, Indie, Puzzle",Нет описания,Everyone 10+,Низкая,Нет данных
the stalin subway: red veil,Shooter,Нет описания,Все возрастные группы,Низкая,Нет данных
among the heavens,"Simulation, Casual",Нет описания,Все возрастные группы,Низкая,Нет данных
lethal rpg: war,"RPG, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
draft day sports pro basketball 4,Simulation,Нет описания,Все возрастные группы,Низкая,Нет данных
pankapu,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
clicker guild,,Нет описания,Все возрастные группы,Низкая,Нет данных
taimumari,"Action, Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
the nadi project,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
rencounter,"RPG, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
kindergarten,"Adventure, Indie",Нет описания,Teen,Низкая,Нет конкурентов
heavy fire: afghanistan,"Action, Shooter",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
farlight 84,"Action, Adventure, Massively Multiplayer",Нет описания,Teen,Низкая,Нет данных
stranger of paradise: final fantasy origin,"Action, Adventure, RPG",Нет описания,Mature,Низкая,Нет данных
world of warcraft: battle for azeroth,"RPG, Massively Multiplayer",Нет описания,Teen,Высокая,Нет данных
super mario all-stars (1993),Platformer,Нет описания,Everyone,Низкая,Нет данных
another lost phone: laura's story,"Adventure, Casual, Indie, Puzzle",Нет описания,Mature,Низкая,Нет данных
madden nfl 09,Sports,"Play and manage football matches between real NFL teams, featuring the latest player lineups of 2009!",Everyone,Низкая,Нет данных
unnyworld,"Action, RPG, Strategy, Massively Multiplayer, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
asta online,"Action, Adventure, RPG, Strategy, Massively Multiplayer",Нет описания,Все возрастные группы,Низкая,Нет данных
discovery! a seek and find adventure,Casual,Нет описания,Все возрастные группы,Низкая,Нет данных
eversion,Indie,Нет описания,Все возрастные группы,Низкая,Нет конкурентов
tap tap legions - epic battles within 5 seconds!,"Action, Strategy, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет данных
metaverse construction kit,"Simulation, Casual, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
demon hunter: chronicles from beyond,"Adventure, Casual, Puzzle",Нет описания,Teen,Низкая,Нет данных
reassembly,"Action, Strategy, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
eleusis,"Adventure, Indie",Нет описания,Все возрастные группы,Низкая,Нет конкурентов
